"ApplyOrder","OrderGroup","Track","ApplyMode","ExecutionOwner","Scope","RiskLevel","DbCategory","RelativePath","LineCount","SizeKB","Decision"
"95","10_security_admin","SECURITY_ADMIN","ADMIN_ONLY","DBAOrOperator","SecurityOrTenantIsolation","HIGH","Script","Backend\database\scripts\095_create_runtime_app_role_admin_only.sql","64","1.74","Never run in normal app migration flow"
"300","10_security_admin","SECURITY_ADMIN","ADMIN_ONLY","DBAOrOperator","SecurityOrTenantIsolation","MEDIUM","Script","Backend\database\scripts\300_p01_p02_security_access_control_spine.sql","365","12.36","Never run in normal app migration flow"
"510","10_security_admin","SECURITY_ADMIN","ADMIN_ONLY","DBAOrOperator","SecurityOrTenantIsolation","HIGH","Script","Backend\database\scripts\510_v5_p02_rls_tenant_isolation_and_secret_vault.sql","320","12.92","Never run in normal app migration flow"
"570","10_security_admin","SECURITY_ADMIN","ADMIN_ONLY","DBAOrOperator","SecurityOrTenantIsolation","HIGH","Script","Backend\database\scripts\570_v5_p08_enterprise_identity_mfa_sessions.sql","240","8.19","Never run in normal app migration flow"
"250","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\250_p3_advanced_analysis_tenant_scope.sql","15","0.86","Candidate for app schema flow after idempotency confirmation"
"301","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\301_p01_p02_authstore_compatibility_bridge.sql","151","4.87","Candidate for app schema flow after idempotency confirmation"
"360","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\360_p05_read_model_refresh_infrastructure.sql","102","4.41","Candidate for app schema flow after idempotency confirmation"
"361","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\361_p05_dashboard_read_models.sql","59","2.52","Candidate for app schema flow after idempotency confirmation"
"362","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\362_p05_dashboard_read_models_extra.sql","63","2.97","Candidate for app schema flow after idempotency confirmation"
"363","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\363_p05_kpi_targets_alerts.sql","37","1.74","Candidate for app schema flow after idempotency confirmation"
"420","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\420_p3_value_evidence_hmi.sql","222","9.02","Candidate for app schema flow after idempotency confirmation"
"440","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\440_p5_ot_safe_acquisition.sql","117","4.81","Candidate for app schema flow after idempotency confirmation"
"511","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\511_v5_p02_hotpath_explain_review.sql","42","1.18","Candidate for app schema flow after idempotency confirmation"
"550","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\550_v5_p06_blended_provenance.sql","234","8.03","Candidate for app schema flow after idempotency confirmation"
"560","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\560_v5_p07_plant_connector_breadth.sql","227","8.4","Candidate for app schema flow after idempotency confirmation"
"600","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\600_v5_p11_outbound_notifications_leads.sql","271","9.25","Candidate for app schema flow after idempotency confirmation"
"610","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\610_v5_p12_i18n_rtl_mobile.sql","166","7.13","Candidate for app schema flow after idempotency confirmation"
"620","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\620_v5_p13_deployment_dr_portability.sql","279","9.12","Candidate for app schema flow after idempotency confirmation"
"670","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\670_pack_b4_connector_runtime_certification.sql","345","10.56","Candidate for app schema flow after idempotency confirmation"
"6","40_views","READ_MODEL_VIEW","AUTO_APPLY_AFTER_SCHEMA","ApplicationDbDeploy","GenericProductReadModel","MEDIUM","View","Backend\database\views\006_dashboard_dataset_views.sql","56","1.98","Candidate for views group after idempotency check"
"0","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","HIGH","Seed","Backend\database\seed\000_plantprocessiq_unified_advanced_realistic_demo_seed.sql","1628","98.38","Keep outside generic app schema flow"
"1","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Seed","Backend\database\seed\001_basic_genealogy_seed.sql","402","8.24","Keep outside generic app schema flow"
"2","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","HIGH","Seed","Backend\database\seed\002_full_feature_demo_seed.sql","971","75.13","Keep outside generic app schema flow"
"2","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","HIGH","Seed","Backend\database\seed\002_full_feature_demo_seed.txt","971","75.13","Keep outside generic app schema flow"
"3","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Seed","Backend\database\seed\003_additional_demo_seed.sql","156","11.04","Keep outside generic app schema flow"
"5","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Seed","Backend\database\seed\005_phase0_job_definitions.sql","146","3.24","Keep outside generic app schema flow"
"90","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Seed","Backend\database\seed\090_phase1_dashboard_builder_indexes.sql","128","4.79","Keep outside generic app schema flow"
"90","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Seed","Backend\database\seed\090_phase1_system_dashboard_templates.sql","412","8.96","Keep outside generic app schema flow"
"110","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Script","Backend\database\scripts\110_phase1_demo_source_shapes.sql","256","9.81","Keep outside generic app schema flow"
"111","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Script","Backend\database\scripts\111_phase1_demo_mapping_views.sql","89","2.62","Keep outside generic app schema flow"
"112","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","HIGH","Script","Backend\database\scripts\112_phase1_golden_demo_data.sql","77826","23842.96","Keep outside generic app schema flow"
"130","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Script","Backend\database\scripts\130_phase03_two_stage_delta_import_architecture.sql","1889","62.19","Keep outside generic app schema flow"
"140","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Script","Backend\database\scripts\140_phase02_demo_sources_genealogy_spine.sql","127","6.27","Keep outside generic app schema flow"
"142","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Script","Backend\database\scripts\142_phase02_phase03_page_definition_and_demo_source_completion.sql","302","10.5","Keep outside generic app schema flow"
