"Path","Status","Purpose"
"deploy\caddy\Caddyfile","OK","Canonical reverse proxy config."
"deploy\demo-sources\docker-compose.demo-sources.yml","OK","Canonical demo source compose."
"deploy\README.md","OK","Deployment root documentation."
"deploy\server\.env.example","OK","Safe tracked server env template."
"deploy\server\docker-compose.server.yml","OK","Canonical server app compose."
"deploy\server\README.md","OK","Server deployment folder documentation."
"deploy\server\SERVER_DEPLOYMENT_CHECKLIST.md","OK","Server deployment checklist."
"deploy\server\SERVER_DRY_RUN.md","OK","Dry-run documentation."
"deploy\server\SERVER_RUNBOOK.md","OK","Server deployment runbook."
"scripts\deploy\server-command-common.ps1","OK","Shared server command functions."
"scripts\deploy\server-down.ps1","OK","Server shutdown command."
"scripts\deploy\server-dry-run.ps1","OK","Server dry-run command."
"scripts\deploy\server-status.ps1","OK","Server status command."
"scripts\deploy\server-up.ps1","OK","Server startup command."
