| No. | Task Name                                            | Task Level | Backend / Frontend / Both | Task Group                | Task Brief Description                       | Task Detailed Description                                                                                                                                                      | Task Validation                                                |
| --: | ---------------------------------------------------- | ---------- | ------------------------- | ------------------------- | -------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | -------------------------------------------------------------- |
|   1 | Run backend build and confirm zero errors            | Critical   | Backend                   | Validation                | Confirm full backend solution compiles.      | Run `dotnet build` on the full solution and confirm Domain, Application, Infrastructure, Api, and Workers compile cleanly. This is the first gate before any new feature work. | Build passes with zero errors.                                 |
|   2 | Run frontend build and confirm zero errors           | Critical   | Frontend                  | Validation                | Confirm React/Vite app compiles.             | Run `npm run build` in the frontend project and fix all TypeScript, import, and component errors. This is especially important after adding `WidgetBuilderWizard`.             | Frontend production build succeeds.                            |
|   3 | Apply migrations and verify schema alignment         | Critical   | Backend                   | Validation                | Confirm DB matches EF model.                 | Apply all migrations including the latest dashboard definitions migration. Start the API and verify no EF schema mismatch appears.                                             | DB migration succeeds and `/db-health` returns OK.             |
|   4 | Smoke test critical API endpoints                    | Critical   | Backend                   | Validation                | Prove runtime API behavior.                  | Test health, dashboard workspace, dashboard metadata, widget query, correlation, material investigation, PDF report, and data quality scan endpoints.                          | All critical endpoints return valid responses.                 |
|   5 | Smoke test dashboard UI in browser                   | Critical   | Frontend                  | Validation                | Prove dashboard runs visually.               | Open the React app with backend running and verify dashboard pages, cards, filter UI, wizard opening, and routing.                                                             | No critical browser console errors.                            |
|   6 | Validate drag, resize, and reflow                    | Critical   | Frontend                  | Dashboard UX              | Confirm dashboard layout behavior.           | Test widget drag, resize, responsive breakpoints, full-row expansion, fullscreen, collapse, and hidden states.                                                                 | Layout behaves correctly across desktop widths.                |
|   7 | Validate filter interaction                          | Critical   | Frontend                  | Dashboard UX              | Confirm global filter behavior.              | Apply dashboard filters and selection breadcrumbs, then validate affected charts/tables refresh correctly.                                                                     | Filters update dashboard data correctly.                       |
|   8 | Validate theme consistency                           | Important  | Frontend                  | UI Theme                  | Confirm dark/light theme stability.          | Test dark default theme, light theme toggle, localStorage theme memory, and visual consistency across all pages.                                                               | Theme toggle works and all pages remain readable.              |
|   9 | Validate worker startup and scheduled jobs           | Critical   | Backend                   | Validation                | Confirm Workers project runs.                | Start Workers and verify import queue processor, data-quality scan, and risk scoring jobs start without configuration errors.                                                  | Worker starts and logs scheduled job execution.                |
