"Key","Owner","RequiredFor","SecretLevel","Purpose","LocalExample","ServerExample","Rule"
"ASPNETCORE_ENVIRONMENT","API","local/server/customer","PUBLIC_CONFIG","ASP.NET runtime environment.","Development","Production","Must come from env/profile."
"ASPNETCORE_URLS","API","local/server/customer","PUBLIC_CONFIG","API binding URL.","http://localhost:5063","http://0.0.0.0:5063","Port must be profile-driven."
"ConnectionStrings__PlantProcessDb","API Database","local/server/customer","SECRET","Final .NET connection string override.","Host=127.0.0.1;...","Host=postgres;...","Must be env-owned or derived consistently."
"PlantProcess__Auth__AccessTokenMinutes","API Auth","local/server/customer","PUBLIC_CONFIG","Access token lifetime.","120","60","Profile-driven."
"PlantProcess__Auth__SigningKey","API Auth","local/server/customer","SECRET","JWT signing key.","local 32+ chars secret","server 32+ chars secret","Must never be committed as real value."
"PLANTPROCESS_ALLOWED_ORIGINS","API Security","local/server/customer","PUBLIC_CONFIG","CORS allowed origins.","http://localhost:5173","https://your-domain.example","Must be env-driven, never hardcoded per machine."
"POSTGRES_APP_DB","Database","local/server/customer","PUBLIC_CONFIG","Application DB name.","plantprocessiq","plantprocessiq","Profile-driven."
"POSTGRES_HOST","Database","local/server/customer","PUBLIC_CONFIG","PostgreSQL host.","127.0.0.1","postgres","Never edit appsettings to switch host."
"POSTGRES_PASSWORD","Database","local/server/customer","SECRET","Application DB password.","local secret","server secret","Must be ignored/env/secret only."
"POSTGRES_PORT","Database","local/server/customer","PUBLIC_CONFIG","PostgreSQL port.","5432","5432","Never edit appsettings to switch port."
"POSTGRES_USER","Database","local/server/customer","SENSITIVE","Application DB user.","plantprocess","plantprocess_app","Do not hardcode in appsettings."
"PPIQ_BOOTSTRAP_ADMIN_PASSWORD","Bootstrap Auth","local/server/customer","SECRET","Initial admin password.","local secret","server secret","Must never be committed as real value."
"PPIQ_BOOTSTRAP_ADMIN_USER","Bootstrap Auth","local/server/customer","SENSITIVE","Initial admin username.","e2eadmin","customer-owner","Profile/secret-driven."
"PPIQ_DEMO_SOURCES_MODE","Runtime","local/server/customer","PUBLIC_CONFIG","Defines whether demo source systems run through Docker.","docker","docker","Demo sources must stay optional and profile-driven."
"PPIQ_MAIN_DB_MODE","Runtime","local/server/customer","PUBLIC_CONFIG","Defines whether main app DB is native, docker, or external.","native","docker","Do not hardcode DB mode in scripts."
"PPIQ_RUNTIME_TOPOLOGY","Runtime","local/server/customer","PUBLIC_CONFIG","Selects runtime mode such as local-hybrid or server-docker.","local-hybrid","server-docker","Same key everywhere; value changes by profile only."
"PPIQ_SMOKE_PASSWORD","Testing","local/server/customer","SECRET","Smoke test login password.","local secret","server secret","Ignored/env/secret only."
"PPIQ_SMOKE_USERNAME","Testing","local/server/customer","SENSITIVE","Smoke test login username.","e2eadmin","customer smoke user","Profile-driven."
"PPIQ_START_DEMO_SOURCES","Runtime","local/server/customer","PUBLIC_CONFIG","Controls whether demo source containers start.","true","true","Profile controls demo source startup."
"PPIQ_START_MAIN_DB","Runtime","local/server/customer","PUBLIC_CONFIG","Controls whether start-local starts main DB.","false","true","Profile controls startup behavior."
"VITE_API_BASE_URL","Frontend","local/server/customer","PUBLIC_CONFIG","Frontend API base URL.","http://localhost:5063","https://api.your-domain.example","Frontend and API profile values must match."
"VITE_PORT","Frontend","local","PUBLIC_CONFIG","Local Vite port.","5173","n/a","Local only unless explicitly needed."
