"RelativePath","SourceArea","FileType","LineCount","Priority","RecommendedAction","TargetTestLayer","TargetLocation","Reason","ConversionNotes"
"tools\validation\Run-FullValidation.ps1","Root tools validation",".ps1","55","P1","CONVERT_TO_DATABASE_INTEGRATION_TEST","Backend database/integration test","Backend\tests\PlantProcess.Infrastructure.IntegrationTests","Database structure and migration readiness should be proven by repeatable integration tests.","Create idempotency, function existence, view existence, seed sanity, and readiness checks."
"tools\validation\Validate-BeforeRefactor.ps1","Root tools validation",".ps1","38","P1","CONVERT_TO_DATABASE_INTEGRATION_TEST","Backend database/integration test","Backend\tests\PlantProcess.Infrastructure.IntegrationTests","Database structure and migration readiness should be proven by repeatable integration tests.","Create idempotency, function existence, view existence, seed sanity, and readiness checks."
"tools\validation\validate-v7-phase04-phase05-acceptance.cjs","Root tools validation",".cjs","49","P1","CONVERT_TO_ENGINE_OR_AI_TEST","Backend unit/integration test","Backend\tests\PlantProcess.Application.UnitTests or PlantProcess.Api.IntegrationTests","Analytics, value, assistant, and grounding behavior must be deterministic and regression-tested.","Create golden tests for result shape, abstention, provenance, citations, value range, and no invented numbers."
"tools\validation\validate-v7-phase04-phase05-completion.cjs","Root tools validation",".cjs","59","P1","CONVERT_TO_ENGINE_OR_AI_TEST","Backend unit/integration test","Backend\tests\PlantProcess.Application.UnitTests or PlantProcess.Api.IntegrationTests","Analytics, value, assistant, and grounding behavior must be deterministic and regression-tested.","Create golden tests for result shape, abstention, provenance, citations, value range, and no invented numbers."
"Backend\tools\validation\Validate-Dimension5-Dimension8.ps1","Backend tools validation",".ps1","179","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\prove-standard-import-gate.cjs","Root tools validation",".cjs","67","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\Run-P00A-StructuralGates.ps1","Root tools validation",".ps1","59","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\Validate-Dimension2-Dimension6.ps1","Root tools validation",".ps1","185","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\Validate-Dimension7-Brand.ps1","Root tools validation",".ps1","156","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\validate-phase01-phase02-gates.mjs","Root tools validation",".mjs","176","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\Validate-Phase01-Phase02-Gates.ps1","Root tools validation",".ps1","11","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
