"Gate","Status","Evidence","Action"
".gitignore pack backups","OK",".gitignore contains _pack_ pattern.","No action."
".gitignore purged-artifacts","OK",".gitignore contains purged-artifacts.","No action."
".gitignore storybook-static","OK",".gitignore contains storybook-static.","No action."
"Canonical deploy README","OK","deploy\README.md exists.","No action."
"Database apply-order manifest","OK","Backend\database\database.apply-order.manifest.csv exists.","No action."
"docs README index","OK","docs\README.md created.","No action."
"docs README index","OK","docs\README.md exists.","No action."
"Documentation README index","OK","Documentation\README.md exists or was created.","No action."
"No Backend orphan src","OK","Backend\src not found.","No action."
"No committed storybook-static","OK","storybook-static not found.","No action."
"No Frontend orphan src","OK","Frontend\src not found.","No action."
"No Infrastructure deploy duplicate","OK","Infrastructure\deploy not found.","No action."
"No legacy deployment folder","OK","deployment not found.","No action."
"No root demo compose duplicate","OK","Root docker-compose.demo-sources.yml not found.","No action."
"Validation-to-test backlog","OK","Documentation\testing\Validation_To_Test_Backlog.md exists.","No action."
