phenomenon_id,phenomenon,phenomenon_class,matrix_status,required_variables,declared_statistic,variable_availability,execution_classification,reason,original_assertion,primary_chart,secondary_chart,negative_control
R1,R1 CRACK_LONG from peritectic carbon band by superheat by casting speed,STRONG,EXISTING,"carbon_pct, superheat_c, casting_speed_m_min, defect_code",rate_ratio,MISSING: casting_speed_m_min,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: casting_speed_m_min,exposed/baseline rate ratio for CRACK_LONG is between 7.0 and 12.0,C27,C25,SCRATCH must not move with the same exposure
R2,"R2 INCLUSION from scrap and DRI ratio, low aluminium, tundish age",STRONG,EXISTING,"scrap_ratio, dri_ratio, al_pct, tundish_age_min, defect_code",rate_ratio,"MISSING: scrap_ratio, dri_ratio, al_pct, tundish_age_min",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: scrap_ratio, dri_ratio, al_pct, tundish_age_min",exposed/baseline rate ratio for INCLUSION is between 3.5 and 5.5,C26,C25,DENT must not move
R3,R3 WAVY_EDGE from rolling force per gauge and roll wear,STRONG,EXISTING,"roll_force_kn, gauge_mm, roll_campaign_age, defect_code",rate_ratio,"MISSING: gauge_mm, roll_campaign_age",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: gauge_mm, roll_campaign_age",exposed/baseline rate ratio for WAVY_EDGE is between 7.0 and 12.0,C26,C23,SEAM must not move
R4,R4 SLIPPAGE_MARK from lubrication viscosity outside the 33-50 cSt window,STRONG,EXISTING,"lubrication_viscosity_cst, defect_code",rate_ratio,MISSING: lubrication_viscosity_cst,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: lubrication_viscosity_cst,exposed/baseline ratio for SLIPPAGE_MARK exceeds 20.0; RULING REQUIRED before it is demonstrated,C26,C27,SCRATCH must not move
R5,R5 ROLL_MARK from roll campaign age since the last roll change,STRONG,EXISTING,"roll_campaign_age, defect_code",rate_ratio,MISSING: roll_campaign_age,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: roll_campaign_age,exposed/baseline ratio for ROLL_MARK is between 3.0 and 4.6 and rises monotonically across campaign-age quartiles,C18,C26,DENT must not move with campaign age
R6,R6 EDGE_CRACK from sulfur content and low finishing temperature,STRONG,EXISTING,"s_pct, finishing_temp_c, defect_code",rate_ratio,"MISSING: s_pct, finishing_temp_c",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: s_pct, finishing_temp_c",MEASURE FIRST: exposed/baseline ratio for EDGE_CRACK is above 1.5 and the sign of both coefficients matches the stated direction,C23,C26,SEAM must not move
R7,R7 SCALE_ROLLED from high finishing temperature and thick gauge,STRONG,EXISTING,"finishing_temp_c, gauge_mm, defect_code",rate_ratio,"MISSING: finishing_temp_c, gauge_mm",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: finishing_temp_c, gauge_mm",MEASURE FIRST: exposed/baseline ratio for SCALE_ROLLED is above 1.5,C28,C23,SCRATCH must not move
R8,R8 CRACK_TRANS from peritectic chemistry and niobium microalloying,STRONG,EXISTING,"carbon_pct, nb_pct, defect_code",rate_ratio,MISSING: nb_pct,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: nb_pct,MEASURE FIRST: exposed/baseline ratio for CRACK_TRANS is above 1.5 within the Nb grade family,C09,C25,DENT must not move
STRONG-009,"R9a SLIVER from scrap ratio, meltshop origin",STRONG,EXISTING,"scrap_ratio, defect_code",unclassified,MISSING: scrap_ratio,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: scrap_ratio,MEASURE FIRST: SLIVER rate in the top scrap-ratio quartile exceeds the bottom quartile,C08,C25,SCRATCH
STRONG-010,R9b LAMINATION from scrap ratio and nitrogen,STRONG,EXISTING,"scrap_ratio, n_ppm, defect_code",unclassified,"MISSING: scrap_ratio, n_ppm",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: scrap_ratio, n_ppm",MEASURE FIRST: LAMINATION rate rises across nitrogen quartiles,C08,C26,DENT
STRONG-011,R9c BLISTER from nitrogen,STRONG,EXISTING,"n_ppm, defect_code",unclassified,MISSING: n_ppm,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: n_ppm,MEASURE FIRST: BLISTER rate rises across nitrogen quartiles,C08,C09,SEAM
