phenomenon_id,phenomenon_class,phenomenon,source_systems,population,minimum_population,variables,intended_effect,expected_direction,expected_effect_band,conditioning_variable,expected_after_conditioning,noise,primary_chart,secondary_chart,dashboard,expected_analysis_result,negative_control,genealogy_requirement,status,assertion
PH-001,STRONG,R1 CRACK_LONG from peritectic carbon band by superheat by casting speed,"Meltshop, Caster, Parsytec","5,670 coils (measured 03-Aug)",200,"carbon_pct, superheat_c, casting_speed_m_min, defect_code",TARGET (see expected_effect_band) exposed against baseline defect rate per coil,positive,3.0x to 6.0x,none,none,natural process variation,C27,C25,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. significant after BH at q=0.05, survives stratification by grade",SCRATCH must not move with the same exposure,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: exposed/baseline rate ratio for CRACK_LONG is inside expected_effect_band
PH-002,STRONG,"R2 INCLUSION from scrap and DRI ratio, low aluminium, tundish age","Meltshop, Caster, Parsytec","5,670 coils (measured 03-Aug)",200,"scrap_ratio, dri_ratio, al_pct, tundish_age_min, defect_code",TARGET (see expected_effect_band),positive,3.0x to 6.0x,none,none,natural process variation,C26,C25,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. significant, and the most believable of the five measured effects",DENT must not move,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: exposed/baseline rate ratio for INCLUSION is inside expected_effect_band
PH-003,STRONG,R3 WAVY_EDGE from rolling force per gauge and roll wear,"HSM, Parsytec","5,670 coils (measured 03-Aug)",200,"roll_force_kn, gauge_mm, roll_campaign_age, defect_code",TARGET (see expected_effect_band),positive,2.5x to 5.0x,none,none,stand-to-stand scatter,C26,C23,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. significant, effect concentrated in the thin-gauge cohort",SEAM must not move,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: exposed/baseline rate ratio for WAVY_EDGE is inside expected_effect_band
PH-004,STRONG,R4 SLIPPAGE_MARK from lubrication viscosity outside the 33-50 cSt window,"HSM, Parsytec","5,670 coils (measured 03-Aug)",200,"lubrication_viscosity_cst, defect_code","TARGET (see expected_effect_band) - NEAR-DETERMINISTIC, see the ruling",positive,3.0x to 6.0x,none,none,small measurement scatter only,C26,C27,P5,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. overwhelming. RULING REQUIRED: a 29-fold effect may read as planted rather than discovered,SCRATCH must not move,coil only,NEW,PREDECLARED BEFORE GENERATION: exposed/baseline ratio for SLIPPAGE_MARK inside expected_effect_band; RULING REQUIRED before it is demonstrated
PH-005,STRONG,R5 ROLL_MARK from roll campaign age since the last roll change,"HSM, Parsytec","5,670 coils (measured 03-Aug)",200,"roll_campaign_age, defect_code",TARGET (see expected_effect_band),positive,2.0x to 4.0x,none,none,campaign-to-campaign variation,C18,C26,P3,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. significant, and monotonic in campaign age",DENT must not move with campaign age,coil only,NEW,PREDECLARED BEFORE GENERATION: exposed/baseline ratio for ROLL_MARK is inside expected_effect_band and rises monotonically across campaign-age quartiles
PH-006,STRONG,R6 EDGE_CRACK from sulfur content and low finishing temperature,"Meltshop, HSM, Parsytec","5,670 coils (measured 03-Aug)",200,"s_pct, finishing_temp_c, defect_code",raised rate; NO RECORDED EFFECT SIZE,positive,2.0x to 4.0x,none,none,chemistry sampling scatter,C23,C26,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. direction positive for sulfur, negative for finishing temperature; magnitude MUST BE MEASURED",SEAM must not move,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: exposed/baseline ratio for EDGE_CRACK is above 1.5 and the sign of both coefficients matches the stated direction
PH-007,STRONG,R7 SCALE_ROLLED from high finishing temperature and thick gauge,"HSM, Parsytec","5,670 coils (measured 03-Aug)",200,"finishing_temp_c, gauge_mm, defect_code",raised rate; NO RECORDED EFFECT SIZE,positive,2.0x to 4.0x,none,none,furnace scatter,C28,C23,P5,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. direction positive for both; magnitude MUST BE MEASURED,SCRATCH must not move,coil only,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: exposed/baseline ratio for SCALE_ROLLED is above 1.5
PH-008,STRONG,R8 CRACK_TRANS from peritectic chemistry and niobium microalloying,"Meltshop, Parsytec","5,670 coils (measured 03-Aug)",200,"carbon_pct, nb_pct, defect_code",raised rate; NO RECORDED EFFECT SIZE,positive,2.0x to 4.0x,none,none,chemistry scatter,C09,C25,P2,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. concentrated in the niobium-bearing grade family; magnitude MUST BE MEASURED,DENT must not move,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: exposed/baseline ratio for CRACK_TRANS is above 1.5 within the Nb grade family
PH-009,STRONG,"R9a SLIVER from scrap ratio, meltshop origin","Meltshop, Parsytec","5,670 coils (measured 03-Aug)",200,"scrap_ratio, defect_code",raised rate; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,charge-to-charge variation,C08,C25,P2,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. meltshop-origin defect traceable upstream through genealogy,SCRATCH,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: SLIVER rate in the top scrap-ratio quartile exceeds the bottom quartile
PH-010,STRONG,R9b LAMINATION from scrap ratio and nitrogen,"Meltshop, Parsytec","5,670 coils (measured 03-Aug)",200,"scrap_ratio, n_ppm, defect_code",raised rate; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,charge variation,C08,C26,P2,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. same upstream origin as SLIVER,DENT,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: LAMINATION rate rises across nitrogen quartiles
