phenomenon_class,phenomenon,source_systems,population,variables,intended_effect,noise,primary_chart,secondary_chart,dashboard,expected_analysis_result,negative_control,genealogy_requirement,status,assertion
STRONG,R1 CRACK_LONG from peritectic carbon band by superheat by casting speed,"Meltshop, Caster, Parsytec","18,661 coils","carbon_pct, superheat_c, casting_speed_m_min, defect_code",9.3x exposed against baseline defect rate per coil,natural process variation,C27,C25,P5,"significant after BH at q=0.05, survives stratification by grade",SCRATCH must not move with the same exposure,heat -> slab -> coil -> defect,EXISTING,exposed/baseline rate ratio for CRACK_LONG is between 7.0 and 12.0
STRONG,"R2 INCLUSION from scrap and DRI ratio, low aluminium, tundish age","Meltshop, Caster, Parsytec","18,661 coils","scrap_ratio, dri_ratio, al_pct, tundish_age_min, defect_code",4.5x,natural process variation,C26,C25,P5,"significant, and the most believable of the five measured effects",DENT must not move,heat -> slab -> coil -> defect,EXISTING,exposed/baseline rate ratio for INCLUSION is between 3.5 and 5.5
STRONG,R3 WAVY_EDGE from rolling force per gauge and roll wear,"HSM, Parsytec","18,661 coils","roll_force_kn, gauge_mm, roll_campaign_age, defect_code",9.5x,stand-to-stand scatter,C26,C23,P5,"significant, effect concentrated in the thin-gauge cohort",SEAM must not move,heat -> slab -> coil -> defect,EXISTING,exposed/baseline rate ratio for WAVY_EDGE is between 7.0 and 12.0
STRONG,R4 SLIPPAGE_MARK from lubrication viscosity outside the 33-50 cSt window,"HSM, Parsytec","18,661 coils","lubrication_viscosity_cst, defect_code","28.9x - NEAR-DETERMINISTIC, see the ruling",small measurement scatter only,C26,C27,P5,overwhelming. RULING REQUIRED: a 29-fold effect may read as planted rather than discovered,SCRATCH must not move,coil only,EXISTING,exposed/baseline ratio for SLIPPAGE_MARK exceeds 20.0; RULING REQUIRED before it is demonstrated
STRONG,R5 ROLL_MARK from roll campaign age since the last roll change,"HSM, Parsytec","18,661 coils","roll_campaign_age, defect_code",3.8x,campaign-to-campaign variation,C18,C26,P3,"significant, and monotonic in campaign age",DENT must not move with campaign age,coil only,EXISTING,exposed/baseline ratio for ROLL_MARK is between 3.0 and 4.6 and rises monotonically across campaign-age quartiles
STRONG,R6 EDGE_CRACK from sulfur content and low finishing temperature,"Meltshop, HSM, Parsytec","18,661 coils","s_pct, finishing_temp_c, defect_code",raised rate; NO RECORDED EFFECT SIZE,chemistry sampling scatter,C23,C26,P5,"direction positive for sulfur, negative for finishing temperature; magnitude MUST BE MEASURED",SEAM must not move,heat -> slab -> coil -> defect,EXISTING,MEASURE FIRST: exposed/baseline ratio for EDGE_CRACK is above 1.5 and the sign of both coefficients matches the stated direction
STRONG,R7 SCALE_ROLLED from high finishing temperature and thick gauge,"HSM, Parsytec","18,661 coils","finishing_temp_c, gauge_mm, defect_code",raised rate; NO RECORDED EFFECT SIZE,furnace scatter,C28,C23,P5,direction positive for both; magnitude MUST BE MEASURED,SCRATCH must not move,coil only,EXISTING,MEASURE FIRST: exposed/baseline ratio for SCALE_ROLLED is above 1.5
STRONG,R8 CRACK_TRANS from peritectic chemistry and niobium microalloying,"Meltshop, Parsytec","18,661 coils","carbon_pct, nb_pct, defect_code",raised rate; NO RECORDED EFFECT SIZE,chemistry scatter,C09,C25,P2,concentrated in the niobium-bearing grade family; magnitude MUST BE MEASURED,DENT must not move,heat -> slab -> coil -> defect,EXISTING,MEASURE FIRST: exposed/baseline ratio for CRACK_TRANS is above 1.5 within the Nb grade family
STRONG,"R9a SLIVER from scrap ratio, meltshop origin","Meltshop, Parsytec","18,661 coils","scrap_ratio, defect_code",raised rate; NO RECORDED EFFECT SIZE,charge-to-charge variation,C08,C25,P2,meltshop-origin defect traceable upstream through genealogy,SCRATCH,heat -> slab -> coil -> defect,EXISTING,MEASURE FIRST: SLIVER rate in the top scrap-ratio quartile exceeds the bottom quartile
STRONG,R9b LAMINATION from scrap ratio and nitrogen,"Meltshop, Parsytec","18,661 coils","scrap_ratio, n_ppm, defect_code",raised rate; NO RECORDED EFFECT SIZE,charge variation,C08,C26,P2,same upstream origin as SLIVER,DENT,heat -> slab -> coil -> defect,EXISTING,MEASURE FIRST: LAMINATION rate rises across nitrogen quartiles
