"Gate","Status","Evidence","Action"
"Caddyfile not empty","OK","deploy/caddy/Caddyfile has content.","No action."
"Demo source compose identity","OK","Demo source compose contains ppiq-source containers.","No action."
"Pack 3A prerequisite","OK","Latest Pack3A gate is green.","No action."
"Required server deployment asset exists","OK","deploy/caddy/Caddyfile","No action."
"Required server deployment asset exists","OK","deploy/demo-sources/docker-compose.demo-sources.yml","No action."
"Required server deployment asset exists","OK","deploy/README.md","No action."
"Required server deployment asset exists","OK","deploy/server/.env.example","No action."
"Required server deployment asset exists","OK","deploy/server/README.md","No action."
"Required server deployment asset exists","OK","deploy/server/SERVER_DEPLOYMENT_CHECKLIST.md","No action."
"Required server deployment asset exists","OK","deploy/server/SERVER_RUNBOOK.md","No action."
"Runtime env files untracked","OK","No forbidden runtime env files are tracked.","No action."
"Runtime env ignore rule","OK","deploy/server/.env","No action."
"Runtime env ignore rule","OK","deploy/server/.env.local","No action."
"Runtime env ignore rule","OK","deploy/server/.env.production","No action."
"Runtime env ignore rule","OK","env/profiles/local.env","No action."
"Runtime env ignore rule","OK","Frontend/PlantProcess.Web/.env.local","No action."
"Runtime env ignore rule","OK","Website/.env.local","No action."
"Server env example has no real secret pattern","OK","deploy/server/.env.example contains only safe placeholders for secret-like keys and no Password= connection-string token.","No action."
"Server env example tracked","OK","deploy/server/.env.example is tracked as template.","No action."
