Route,Source file,Severity,Why it matters,Expected auth behaviour,Owner decision
/analytics/features/{materialUnitId:guid},Endpoints/Analytics/FeatureEngineeringEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/analytics/ml-readiness/jobs,Endpoints/Analytics/MlReadinessEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/analytics/ml-readiness/labels/preview,Endpoints/Analytics/MlReadinessEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/analytics/ml-readiness/score,Endpoints/Analytics/MlReadinessEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/analytics/ml-readiness/workspace,Endpoints/Analytics/MlReadinessEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/advanced/readiness,Endpoints/Analytics/AdvancedResultsEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/advanced/readiness/gates,Endpoints/Analytics/AdvancedResultsEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/advanced/results,Endpoints/Analytics/AdvancedResultsEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/advanced/runs,Endpoints/Analytics/AdvancedResultsEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/read-models/daily-production,Endpoints/Analytics/ReadModelEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/read-models/defect-by-product-family,Endpoints/Analytics/ReadModelEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/read-models/downtime-by-area,Endpoints/Analytics/ReadModelEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/read-models/equipment-stoppage,Endpoints/Analytics/ReadModelEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/read-models/parameter-by-grade,Endpoints/Analytics/ReadModelEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/read-models/parameter-trend,Endpoints/Analytics/ReadModelEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
