"Path","Risk","KeyOrPattern","Reason","Action"
"Backend\.env.example","HIGH","connection-string-password","Connection string includes password.","Use env-only ConnectionStrings__PlantProcessDb or generated runtime value."
"Backend\PlantProcess.Api\appsettings.Development.json","HIGH","connection-string-password","Connection string includes password.","Use env-only ConnectionStrings__PlantProcessDb or generated runtime value."
"Backend\PlantProcess.Api\appsettings.Development.json","HIGH","signing-key","Signing key appears in committed/config file.","Use PlantProcess__Auth__SigningKey from env/secret only."
"Backend\PlantProcess.Api\appsettings.json","HIGH","signing-key","Signing key appears in committed/config file.","Use PlantProcess__Auth__SigningKey from env/secret only."
"Backend\PlantProcess.Api\Properties\launchSettings.json","HIGH","connection-string-password","Connection string includes password.","Use env-only ConnectionStrings__PlantProcessDb or generated runtime value."
"Backend\PlantProcess.Api\Properties\launchSettings.json","HIGH","known-development-secret","Known development password or placeholder-like secret detected.","Move real value to ignored env/secret store; committed files should use safe placeholders only."
"env\profiles\customer-template.env.example","HIGH","connection-string-password","Connection string includes password.","Use env-only ConnectionStrings__PlantProcessDb or generated runtime value."
"env\profiles\customer-template.env.example","HIGH","known-development-secret","Known development password or placeholder-like secret detected.","Move real value to ignored env/secret store; committed files should use safe placeholders only."
"env\profiles\local.env","HIGH","connection-string-password","Connection string includes password.","Use env-only ConnectionStrings__PlantProcessDb or generated runtime value."
"env\profiles\local.env","HIGH","known-development-secret","Known development password or placeholder-like secret detected.","Move real value to ignored env/secret store; committed files should use safe placeholders only."
"env\profiles\local.env.example","HIGH","connection-string-password","Connection string includes password.","Use env-only ConnectionStrings__PlantProcessDb or generated runtime value."
"env\profiles\local.env.example","HIGH","known-development-secret","Known development password or placeholder-like secret detected.","Move real value to ignored env/secret store; committed files should use safe placeholders only."
"env\profiles\server.env.example","HIGH","connection-string-password","Connection string includes password.","Use env-only ConnectionStrings__PlantProcessDb or generated runtime value."
"env\profiles\server.env.example","HIGH","known-development-secret","Known development password or placeholder-like secret detected.","Move real value to ignored env/secret store; committed files should use safe placeholders only."
"env\profiles\server-docker.env.example","HIGH","connection-string-password","Connection string includes password.","Use env-only ConnectionStrings__PlantProcessDb or generated runtime value."
"env\profiles\server-docker.env.example","HIGH","known-development-secret","Known development password or placeholder-like secret detected.","Move real value to ignored env/secret store; committed files should use safe placeholders only."
"env\profiles\test.env.example","HIGH","connection-string-password","Connection string includes password.","Use env-only ConnectionStrings__PlantProcessDb or generated runtime value."
"env\profiles\test.env.example","HIGH","known-development-secret","Known development password or placeholder-like secret detected.","Move real value to ignored env/secret store; committed files should use safe placeholders only."
"Frontend\PlantProcess.Web\.env.local","HIGH","known-development-secret","Known development password or placeholder-like secret detected.","Move real value to ignored env/secret store; committed files should use safe placeholders only."
"Backend\.env.example","LOW","local-url","Local URL found. This is acceptable only in local/example profile.","Ensure server profile uses production URL values."
"Backend\PlantProcess.Api\appsettings.Development.json","LOW","local-url","Local URL found. This is acceptable only in local/example profile.","Ensure server profile uses production URL values."
"Backend\PlantProcess.Api\Properties\launchSettings.json","LOW","local-url","Local URL found. This is acceptable only in local/example profile.","Ensure server profile uses production URL values."
"env\profiles\local.env","LOW","local-url","Local URL found. This is acceptable only in local/example profile.","Ensure server profile uses production URL values."
"env\profiles\local.env.example","LOW","local-url","Local URL found. This is acceptable only in local/example profile.","Ensure server profile uses production URL values."
"Frontend\PlantProcess.Web\.env.local","LOW","local-url","Local URL found. This is acceptable only in local/example profile.","Ensure server profile uses production URL values."
"Backend\.env.example","MEDIUM","password","Password-like config detected.","Confirm file is ignored or replace committed value with placeholder."
"Backend\PlantProcess.Api\appsettings.Development.json","MEDIUM","password","Password-like config detected.","Confirm file is ignored or replace committed value with placeholder."
"Backend\PlantProcess.Api\Properties\launchSettings.json","MEDIUM","password","Password-like config detected.","Confirm file is ignored or replace committed value with placeholder."
"env\profiles\customer-template.env.example","MEDIUM","password","Password-like config detected.","Confirm file is ignored or replace committed value with placeholder."
"env\profiles\local.env","MEDIUM","password","Password-like config detected.","Confirm file is ignored or replace committed value with placeholder."
"env\profiles\local.env.example","MEDIUM","password","Password-like config detected.","Confirm file is ignored or replace committed value with placeholder."
"env\profiles\server.env.example","MEDIUM","password","Password-like config detected.","Confirm file is ignored or replace committed value with placeholder."
"env\profiles\server-docker.env.example","MEDIUM","password","Password-like config detected.","Confirm file is ignored or replace committed value with placeholder."
"env\profiles\test.env.example","MEDIUM","password","Password-like config detected.","Confirm file is ignored or replace committed value with placeholder."
"Frontend\PlantProcess.Web\.env.local","MEDIUM","password","Password-like config detected.","Confirm file is ignored or replace committed value with placeholder."
