"Action","Source","Target","Reason"
"MOVE_FILE","C:\Workspace\PlantProcess-IQ\docker-compose.demo-sources.yml","C:\Workspace\PlantProcess-IQ\deploy\demo-sources\docker-compose.demo-sources.yml","Demo-source compose belongs under canonical deploy/demo-sources."
"COPY_FILE","C:\Workspace\PlantProcess-IQ\Infrastructure\deploy\Caddyfile","C:\Workspace\PlantProcess-IQ\deploy\caddy\Caddyfile","Canonical Caddyfile copied from Infrastructure deploy."
"COPY_FILE","C:\Workspace\PlantProcess-IQ\deployment\caddy\Caddyfile","C:\Workspace\PlantProcess-IQ\deploy\_legacy_consolidated_20260604_115150\deployment-caddy-Caddyfile","Secondary Caddyfile preserved for manual comparison."
"MOVE_FILE","C:\Workspace\PlantProcess-IQ\Infrastructure\deploy\.env.example","C:\Workspace\PlantProcess-IQ\deploy\server\.env.example","Server deployment asset moved to canonical deploy/server."
"MOVE_FILE","C:\Workspace\PlantProcess-IQ\Infrastructure\deploy\.env.production","C:\Workspace\PlantProcess-IQ\deploy\server\.env.production","Server deployment asset moved to canonical deploy/server."
"MOVE_FILE","C:\Workspace\PlantProcess-IQ\Infrastructure\deploy\apply-server-db-scripts.sh","C:\Workspace\PlantProcess-IQ\deploy\server\apply-server-db-scripts.sh","Server deployment asset moved to canonical deploy/server."
"MOVE_FILE","C:\Workspace\PlantProcess-IQ\Infrastructure\deploy\rotate-postgres-password.sh","C:\Workspace\PlantProcess-IQ\deploy\server\rotate-postgres-password.sh","Server deployment asset moved to canonical deploy/server."
"MOVE_FILE","C:\Workspace\PlantProcess-IQ\Infrastructure\deploy\README.md","C:\Workspace\PlantProcess-IQ\deploy\server\README.md","Server deployment asset moved to canonical deploy/server."
"MOVE_FILE","C:\Workspace\PlantProcess-IQ\Infrastructure\deploy\docker-compose.demo.yml","C:\Workspace\PlantProcess-IQ\deploy\server\docker-compose.demo.yml","Server deployment asset moved to canonical deploy/server."
"COPY_FILE","C:\Workspace\PlantProcess-IQ\Jenkinsfile","C:\Workspace\PlantProcess-IQ\deploy\ci\Jenkinsfile","Root Jenkinsfile copied to deploy/ci, but root copy is kept until CI config is confirmed."
"ARCHIVE_DUPLICATE_FOLDER","C:\Workspace\PlantProcess-IQ\deployment","C:\Workspace\PlantProcess-IQ\deploy\_legacy_consolidated_20260604_115150\deployment","Duplicate deployment folder archived after Caddy preservation."
"ARCHIVE_DUPLICATE_FOLDER","C:\Workspace\PlantProcess-IQ\Infrastructure\deploy","C:\Workspace\PlantProcess-IQ\deploy\_legacy_consolidated_20260604_115150\deploy","Duplicate Infrastructure deploy folder archived after server asset move."
"WRITE_FILE","","C:\Workspace\PlantProcess-IQ\deploy\README.md","Canonical deploy README created."
