"RelativePath","LineNumber","Evidence"
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","153","""heat/charge â†’ ladle/batch â†’ tundish/intermediate vessel â†’ strand/line â†’ slab/intermediate product â†’ coil/final unit â†’ QA/defects/downtime/yard"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","304","""('meltshop-postgres', 'MeltShop PostgreSQL â€” process/chemistry', 'PostgreSQL', 'MeltShop', 'Source â†’ Staging â†’ Canonical', 'Demo preset / internal network', true, true, false, 'container-internal', 12500, 'Mapped'),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","305","""('caster-oracle', 'Caster Oracle â€” sequence/intermediate product', 'Oracle', 'Caster', 'Source â†’ Staging â†’ Canonical', 'Demo preset / internal network', true, true, false, 'container-internal', 18400, 'Mapped'),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","306","""('hsm-oracle', 'HSM Oracle â€” rolling process/final unit', 'Oracle', 'Hot Strip Mill', 'Source â†’ Staging â†’ Canonical', 'Demo preset / internal network', true, true, false, 'container-internal', 21600, 'Mapped'),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","307","""('pkl-mssql', 'PKL MSSQL â€” downstream inspection/process', 'MsSql', 'Downstream', 'Source â†’ Staging â†’ Canonical', 'Demo preset / internal network', true, true, false, 'container-internal', 14200, 'Mapped'),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","309","""('parsytec-mysql', 'Surface Inspection MySQL â€” defects', 'MySql', 'Surface Inspection', 'Source â†’ Staging â†’ Canonical', 'Demo preset / internal network', true, true, false, 'container-internal', 17100, 'Mapped'),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","329","""('ADV_COIL4002', 10, 'ChargeOrHeat', 'MeltShop', 'meltshop-postgres', 'ADV_HEAT4002', NULL, 'source heat/charge id mapped to canonical process batch', true, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","330","""('ADV_COIL4002', 20, 'LadleOrBatch', 'MeltShop', 'meltshop-postgres', 'ADV_LADLE4002', 'ADV_HEAT4002', 'ladle/batch linked through process campaign mapping', true, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","331","""('ADV_COIL4002', 30, 'IntermediateVessel', 'Caster', 'caster-oracle', 'ADV_TUNDISH4002', 'ADV_LADLE4002', 'caster sequence mapping links batch to intermediate vessel', true, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","332","""('ADV_COIL4002', 40, 'LineOrStrand', 'Caster', 'caster-oracle', 'ADV_STRAND4002', 'ADV_TUNDISH4002', 'strand/line mapping links vessel to intermediate product', true, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","333","""('ADV_COIL4002', 50, 'IntermediateProduct', 'Caster', 'caster-oracle', 'ADV_SLAB4002', 'ADV_STRAND4002', 'slab/intermediate product mapped from casting output', true, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","334","""('ADV_COIL4002', 60, 'FinalProductUnit', 'Hot Strip Mill', 'hsm-oracle', 'ADV_COIL4002', 'ADV_SLAB4002', 'rolling output maps intermediate product to final unit', true, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","336","""('ADV_COIL4002', 80, 'DefectOutcome', 'Surface Inspection', 'parsytec-mysql', 'ADV_SURF4002', 'ADV_COIL4002', 'surface defect event linked to final unit and position range', true, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase2\Phase2LifecycleProofEndpoints.cs","354","""('ADV_COIL4002', 65, 'DownstreamProcess', 'Downstream', 'pkl-mssql', 'ADV_PKL4002', 'ADV_COIL4002', 'downstream process/inspection source links final unit to downstream lifecycle', true, true)"","
