"Path","OriginalRisk","FinalRisk","IsTrackedByGit","FileKind","Pattern","Reason","RequiredAction"
"env\profiles\local.env","HIGH","ACCEPTABLE_LOCAL_IGNORED","NO","LOCAL_IGNORED_RUNTIME","connection-string-password","Connection string includes password.","Allowed only if untracked and ignored."
"env\profiles\local.env","HIGH","ACCEPTABLE_LOCAL_IGNORED","NO","LOCAL_IGNORED_RUNTIME","known-development-secret","Known development password or placeholder-like secret detected.","Allowed only if untracked and ignored."
"env\profiles\local.env","MEDIUM","ACCEPTABLE_LOCAL_IGNORED","NO","LOCAL_IGNORED_RUNTIME","password","Password-like config detected.","Allowed only if untracked and ignored."
"Frontend\PlantProcess.Web\.env.local","HIGH","ACCEPTABLE_LOCAL_IGNORED","NO","LOCAL_FRONTEND_ENV","known-development-secret","Known development password or placeholder-like secret detected.","Allowed only if untracked and ignored."
"Frontend\PlantProcess.Web\.env.local","MEDIUM","ACCEPTABLE_LOCAL_IGNORED","NO","LOCAL_FRONTEND_ENV","password","Password-like config detected.","Allowed only if untracked and ignored."
"Backend\.env.example","MEDIUM","ACCEPTABLE_TEMPLATE_PLACEHOLDER","YES","EXAMPLE_OR_TEMPLATE","password","Password-like config detected.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\customer-template.env.example","MEDIUM","ACCEPTABLE_TEMPLATE_PLACEHOLDER","YES","EXAMPLE_OR_TEMPLATE","password","Password-like config detected.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\local.env.example","MEDIUM","ACCEPTABLE_TEMPLATE_PLACEHOLDER","YES","EXAMPLE_OR_TEMPLATE","password","Password-like config detected.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\server.env.example","MEDIUM","ACCEPTABLE_TEMPLATE_PLACEHOLDER","YES","EXAMPLE_OR_TEMPLATE","password","Password-like config detected.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\server-docker.env.example","MEDIUM","ACCEPTABLE_TEMPLATE_PLACEHOLDER","YES","EXAMPLE_OR_TEMPLATE","password","Password-like config detected.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\test.env.example","MEDIUM","ACCEPTABLE_TEMPLATE_PLACEHOLDER","YES","EXAMPLE_OR_TEMPLATE","password","Password-like config detected.","Allowed only with placeholders. No real local/server secrets."
"Backend\.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","connection-string-password","Connection string includes password.","Allowed only with placeholders. No real local/server secrets."
"Backend\PlantProcess.Api\appsettings.Development.json","HIGH","BLOCKER_TRACKED_HIGH","YES","COMMITTED_APP_CONFIG","connection-string-password","Connection string includes password.","Must not contain real secrets. Replace with placeholders and env overrides."
"Backend\PlantProcess.Api\appsettings.Development.json","HIGH","BLOCKER_TRACKED_HIGH","YES","COMMITTED_APP_CONFIG","signing-key","Signing key appears in committed/config file.","Must not contain real secrets. Replace with placeholders and env overrides."
"Backend\PlantProcess.Api\appsettings.json","HIGH","BLOCKER_TRACKED_HIGH","YES","COMMITTED_APP_CONFIG","signing-key","Signing key appears in committed/config file.","Must not contain real secrets. Replace with placeholders and env overrides."
"Backend\PlantProcess.Api\Properties\launchSettings.json","HIGH","BLOCKER_TRACKED_HIGH","YES","UNKNOWN","connection-string-password","Connection string includes password.","Review manually."
"Backend\PlantProcess.Api\Properties\launchSettings.json","HIGH","BLOCKER_TRACKED_HIGH","YES","UNKNOWN","known-development-secret","Known development password or placeholder-like secret detected.","Review manually."
"env\profiles\customer-template.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","connection-string-password","Connection string includes password.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\customer-template.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","known-development-secret","Known development password or placeholder-like secret detected.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\local.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","connection-string-password","Connection string includes password.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\local.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","known-development-secret","Known development password or placeholder-like secret detected.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\server.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","connection-string-password","Connection string includes password.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\server.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","known-development-secret","Known development password or placeholder-like secret detected.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\server-docker.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","connection-string-password","Connection string includes password.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\server-docker.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","known-development-secret","Known development password or placeholder-like secret detected.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\test.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","connection-string-password","Connection string includes password.","Allowed only with placeholders. No real local/server secrets."
"env\profiles\test.env.example","HIGH","BLOCKER_TRACKED_HIGH","YES","EXAMPLE_OR_TEMPLATE","known-development-secret","Known development password or placeholder-like secret detected.","Allowed only with placeholders. No real local/server secrets."
"Backend\.env.example","LOW","LOW_INFORMATIONAL","YES","EXAMPLE_OR_TEMPLATE","local-url","Local URL found. This is acceptable only in local/example profile.","Allowed only with placeholders. No real local/server secrets."
