"RelativePath","ItemType","Area","Classification","Recommendation","FileCount","SizeKB","Reason"
"Backend\tools\validation","Directory","Backend tools","BACKEND_VALIDATION_TO_TEST","Convert important checks into C# unit/integration tests","1","6.43","Backend validation scripts should become real tests where possible."
"tools\p00","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","30","179.46","One-time implementation pack. Keep history outside active repo."
"tools\p01p02","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","3","20.52","One-time implementation pack. Keep history outside active repo."
"tools\p03p04","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","2","49.79","One-time implementation pack. Keep history outside active repo."
"tools\phase1","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","12","136.94","One-time implementation pack. Keep history outside active repo."
"tools\phase12","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","5","52.53","One-time implementation pack. Keep history outside active repo."
"tools\phase2","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","3","161.74","One-time implementation pack. Keep history outside active repo."
"tools\phase23","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","10","67.67","One-time implementation pack. Keep history outside active repo."
"tools\phase25","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","16","198.68","One-time implementation pack. Keep history outside active repo."
"tools\phase45","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","10","119.1","One-time implementation pack. Keep history outside active repo."
"tools\phase78","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","5","125.7","One-time implementation pack. Keep history outside active repo."
"tools\v5","Directory","Root tools","HISTORICAL_IMPLEMENTATION_PACK","Archive after confirming current code/tests are green","87","291.39","One-time implementation pack. Keep history outside active repo."
"Frontend\PlantProcess.Web\scripts\audit-language.mjs","File","Frontend scripts","KEEP_ACTIVE_FRONTEND_QUALITY_TOOL","Keep if referenced in package.json or CI","1","3.58","May be useful for frontend quality/a11y/storybook workflow."
"scripts\docker","Directory","Root scripts","KEEP_ACTIVE_STANDARDIZATION","Keep","7","5.92","S0/S1/S2 standardization scripts are now canonical operational scripts."
"scripts\env","Directory","Root scripts","KEEP_ACTIVE_STANDARDIZATION","Keep","3","4.64","S0/S1/S2 standardization scripts are now canonical operational scripts."
"scripts\run","Directory","Root scripts","KEEP_ACTIVE_STANDARDIZATION","Keep","9","9.69","S0/S1/S2 standardization scripts are now canonical operational scripts."
"scripts\test","Directory","Root scripts","KEEP_ACTIVE_STANDARDIZATION","Keep","2","4.05","S0/S1/S2 standardization scripts are now canonical operational scripts."
"tools\ci","Directory","Root tools","KEEP_ACTIVE_TOOLING","Keep if still used by CI/dev workflow","6","5.77","Likely active operational tooling."
"tools\dev","Directory","Root tools","KEEP_ACTIVE_TOOLING","Keep if still used by CI/dev workflow","4","2.95","Likely active operational tooling."
"scripts\hygiene","Directory","Root scripts","KEEP_HYGIENE_TOOLING","Keep during stabilization","2","17.03","Current stabilization and repo cleanup scripts."
"Backend\tools\generate_synthetic_insert_writers.py","File","Backend tools","KEEP_OR_MOVE_TO_DEV_TOOLS","Keep if actively used for audit/demo data generation","1","7.83","May be active dev/demo tooling."
"Backend\tools\generate_synthetic_plantprocessiq.py","File","Backend tools","KEEP_OR_MOVE_TO_DEV_TOOLS","Keep if actively used for audit/demo data generation","1","6.91","May be active dev/demo tooling."
"Backend\tools\GenerateDeepAudit.ps1","File","Backend tools","KEEP_OR_MOVE_TO_DEV_TOOLS","Keep if actively used for audit/demo data generation","1","10.1","May be active dev/demo tooling."
"Frontend\PlantProcess.Web\package.json","File","NPM package scripts","REFERENCE_SOURCE","Use to decide which frontend scripts are active","1","9.74","package.json may reference scripts that must be kept."
"Website\PlantProcess.Website\package.json","File","NPM package scripts","REFERENCE_SOURCE","Use to decide which frontend scripts are active","1","1.63","package.json may reference scripts that must be kept."
"Backend\PlantProcess.Api\PlantProcess.Api.csproj","File","Reference file","REFERENCE_SOURCE","Inspect before archiving scripts","1","1.65","This file may call tooling/scripts."
"deploy\ci\Jenkinsfile","File","Reference file","REFERENCE_SOURCE","Inspect before archiving scripts","1","10.73","This file may call tooling/scripts."
"Frontend\PlantProcess.Web\package.json","File","Reference file","REFERENCE_SOURCE","Inspect before archiving scripts","1","9.74","This file may call tooling/scripts."
"Jenkinsfile","File","Reference file","REFERENCE_SOURCE","Inspect before archiving scripts","1","10.73","This file may call tooling/scripts."
"Website\PlantProcess.Website\package.json","File","Reference file","REFERENCE_SOURCE","Inspect before archiving scripts","1","1.63","This file may call tooling/scripts."
"Backend\tools\GenerateProjectDocumentation.ps1","File","Backend tools","REVIEW","Manual review required","1","6.51","Backend tooling requires active-use decision."
