"Category","Severity","RelativePath","LineNumber","Evidence","Recommendation"
"Hardcoded demo tenant","HIGH","Backend\database\scripts\301_p01_p02_authstore_compatibility_bridge.sql","37","VALUES ('00000000-0000-0000-0000-000000000001', 'default-demo', 'Default Demo Tenant', 'Demo', true)","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\301_p01_p02_authstore_compatibility_bridge.sql","103","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\301_p01_p02_authstore_compatibility_bridge.sql","118","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\511_v5_p02_hotpath_explain_review.sql","10","SELECT set_config('app.current_tenant', '00000000-0000-0000-0000-000000000001', false);","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\530_v5_p04_assistant_model_gateway_boundary.sql","179","SELECT set_config('app.current_tenant', '00000000-0000-0000-0000-000000000001', false);","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\530_v5_p04_assistant_model_gateway_boundary.sql","196","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\530_v5_p04_assistant_model_gateway_boundary.sql","217","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\530_v5_p04_assistant_model_gateway_boundary.sql","234","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\530_v5_p04_assistant_model_gateway_boundary.sql","283","WHERE tenant_id = '00000000-0000-0000-0000-000000000001'","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\570_v5_p08_enterprise_identity_mfa_sessions.sql","182","SELECT set_config('app.current_tenant', '00000000-0000-0000-0000-000000000001', false);","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\570_v5_p08_enterprise_identity_mfa_sessions.sql","185","VALUES ('00000000-0000-0000-0000-000000000001')","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\580_v5_p09_enterprise_identity_sso_scim.sql","192","SELECT set_config('app.current_tenant', '00000000-0000-0000-0000-000000000001', false);","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\580_v5_p09_enterprise_identity_sso_scim.sql","208","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\580_v5_p09_enterprise_identity_sso_scim.sql","239","WHERE p.tenant_id = '00000000-0000-0000-0000-000000000001'","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\580_v5_p09_enterprise_identity_sso_scim.sql","262","WHERE p.tenant_id = '00000000-0000-0000-0000-000000000001'","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\580_v5_p09_enterprise_identity_sso_scim.sql","275","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
