"RelativePath","Folder","Extension","LineCount","SizeKB","DbCategory","RiskLevel","RecommendedAction","Reason"
"Backend\database\scripts\095_create_runtime_app_role_admin_only.sql","Backend\database\scripts",".sql","64","1.74","Script","HIGH","Move to admin-only database scripts group later; never run in normal app migration flow. Idempotent markers detected.","Admin/security/role-management script needs separate operator flow."
"Backend\database\scripts\096_harden_audit_log_immutability.sql","Backend\database\scripts",".sql","126","4.02","Script","HIGH","Move to admin-only database scripts group later; never run in normal app migration flow. Idempotent markers detected.","Admin/security/role-management script needs separate operator flow. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\112_phase1_golden_demo_data.sql","Backend\database\scripts",".sql","77826","23842.96","Script","HIGH","Keep as demo/source-system seed or source-shape script; do not hard-code into generic core migration flow.","Demo/source-system specific SQL. Keep separated from generic product schema."
"Backend\database\scripts\117_phase8_widget_script_layer_entity_mapping.sql","Backend\database\scripts",".sql","65","2.55","Script","HIGH","Review manually before any automatic apply flow. Idempotent markers detected.","Potential destructive SQL detected. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\200_phase02_ml_foundation_feature_store_pgvector.sql","Backend\database\scripts",".sql","709","26.52","Script","HIGH","Review manually before any automatic apply flow. Idempotent markers detected.","Potential destructive SQL detected. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\201_phase02_ml_feature_store_v6_completion.sql","Backend\database\scripts",".sql","186","11.52","Script","HIGH","Review manually before any automatic apply flow. Idempotent markers detected.","Potential destructive SQL detected. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\204_phase04_phase05_ml_learning_core.sql","Backend\database\scripts",".sql","816","29.93","Script","HIGH","Review manually before any automatic apply flow. Idempotent markers detected.","Potential destructive SQL detected. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\205_phase04_phase05_completion_governance_jobs_tests.sql","Backend\database\scripts",".sql","1239","41.33","Script","HIGH","Review manually before any automatic apply flow. Idempotent markers detected.","Potential destructive SQL detected. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\510_v5_p02_rls_tenant_isolation_and_secret_vault.sql","Backend\database\scripts",".sql","320","12.92","Script","HIGH","Move to admin-only database scripts group later; never run in normal app migration flow. Idempotent markers detected.","Admin/security/role-management script needs separate operator flow. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\570_v5_p08_enterprise_identity_mfa_sessions.sql","Backend\database\scripts",".sql","240","8.19","Script","HIGH","Move to admin-only database scripts group later; never run in normal app migration flow. Idempotent markers detected.","Admin/security/role-management script needs separate operator flow. Phase/hotfix/validation naming should be normalized later."
"Backend\database\seed\000_plantprocessiq_unified_advanced_realistic_demo_seed.sql","Backend\database\seed",".sql","1628","98.38","Seed","HIGH","Keep as demo/source-system seed or source-shape script; do not hard-code into generic core migration flow.","Demo/source-system specific SQL. Keep separated from generic product schema."
"Backend\database\seed\002_full_feature_demo_seed.sql","Backend\database\seed",".sql","971","75.13","Seed","HIGH","Review manually before any automatic apply flow. Idempotent markers detected.","Potential destructive SQL detected."
"Backend\database\seed\002_full_feature_demo_seed.txt","Backend\database\seed",".txt","971","75.13","Seed","HIGH","Review manually before any automatic apply flow. Idempotent markers detected.","Potential destructive SQL detected."
"Backend\database\scripts\250_p3_advanced_analysis_tenant_scope.sql","Backend\database\scripts",".sql","15","0.86","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\301_p01_p02_authstore_compatibility_bridge.sql","Backend\database\scripts",".sql","151","4.87","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\360_p05_read_model_refresh_infrastructure.sql","Backend\database\scripts",".sql","102","4.41","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\361_p05_dashboard_read_models.sql","Backend\database\scripts",".sql","59","2.52","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\362_p05_dashboard_read_models_extra.sql","Backend\database\scripts",".sql","63","2.97","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\363_p05_kpi_targets_alerts.sql","Backend\database\scripts",".sql","37","1.74","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\420_p3_value_evidence_hmi.sql","Backend\database\scripts",".sql","222","9.02","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
