"Gate","Status","Evidence","Action"
"Local profile parse","OK","env\profiles\local.env parsed with 42 keys.","No action."
"Required env/runtime file","OK","scripts\run\free-ports.ps1","No action."
"Required env/runtime file","OK","scripts\run\start-local.ps1","No action."
"Required env/runtime file","OK","scripts\run\validate-s1c-topology.ps1","No action."
"Required env/runtime file","OK","scripts\env\print-effective-config.ps1","No action."
"Required env/runtime file","OK","env\profiles\server-docker.env.example","No action."
"Required env/runtime file","OK","env\profiles\local.env","No action."
"Required env/runtime file","OK","scripts\env\use-profile.ps1","No action."
"Required env/runtime file","OK","env\profiles\customer-template.env.example","No action."
"High-risk committed secret scan","WARN","19 high-risk secret pattern(s) detected.","Pack 2B should replace committed values with placeholders and env-only values."
"Medium-risk config scan","WARN","10 medium-risk pattern(s) detected.","Review and clean in Pack 2B."
