widget_id,widget_kind,page,widget_name,chart_type,exists_today,decision,phenomenon_or_baseline,required_fields,required_relationship,rationale
C01,BLUEPRINT CHART,P1,Production volume trend,line,PARTIAL as PO_TREND,REBIND,Weekly production rhythm; monthly throughput trend,"production_timestamp, material_unit_id",none beyond canonical unit identity,PO_TREND plots materialCount by day and is close. Rebind to production timestamp so the weekly rhythm is visible rather than flat
C02,BLUEPRINT CHART,P1,Production by shift,stacked column,NO,ADD WIDGET,Night shift higher apparent defect rate; crew rotation pattern,"shift, production_timestamp, weight_t",none beyond canonical unit identity,"No seeded widget touches shift. The attribute itself is the gap, not the chart"
C03,BLUEPRINT CHART,P1,Throughput by grade,bar,NO,ADD WIDGET,Night shift ran a harder grade family,"grade, weight_t",none beyond canonical unit identity,Grade is unbound across all 29 seeded widgets
C04,BLUEPRINT CHART,P1,Production by equipment,bar,NO,ADD WIDGET,Downtime concentrates on a clear loss leader,"equipment, material_unit_id","coil -> equipment attribution, published",Equipment attribution is the same defect that makes chart 10 return one row
C05,BLUEPRINT CHART,P1,Heat-to-coil cycle time trend,line,NO,ADD WIDGET,R14 power_on_min; post-breakout recovery,"heat_start_utc, coil_end_utc","heat -> slab -> coil, published",Needs the genealogy chain to compute an elapsed time across three grains
C06,BLUEPRINT CHART,P1,Production detail,table,PARTIAL as PO_TABLE,REBIND,Sequence length affects slab quality spread,"heat_code, slab_code, coil_code, grade, shift, weight_t","heat -> slab -> coil, published",PO_TABLE shows volume by type. Rebind to the genealogy row so one line spans heat to coil
C07,BLUEPRINT CHART,P2,Defect rate trend,line,YES as QM_TREND,KEEP,Defect rate excursion lasting two to five days,"defect_timestamp, defect_count, coil_count",none beyond canonical unit identity,"Already correct. The excursion must exist in the data, which is the phenomenon's job"
C08,BLUEPRINT CHART,P2,Defect Pareto,Pareto,PARTIAL as QM_BREAK,ENHANCE,R9a/R9b/R9c meltshop-origin family,"defect_code, defect_count",none beyond canonical unit identity,QM_BREAK is a bar of defectCount by defectType. Cumulative line and sort make it a Pareto
C09,BLUEPRINT CHART,P2,Defects by grade,stacked bar,NO,ADD WIDGET,Grade sensitivity to defect family; R8 CRACK_TRANS,"grade, defect_code, defect_count","heat -> slab -> coil -> defect, published","Grade sits on the heat and the defect sits on the coil, so this needs the published chain"
C10,BLUEPRINT CHART,P2,Defects by production unit,bar,YES as EO_EQDEF but ONE ROW,NEEDS RELATIONSHIP SLICE,Equipment effect on defect rate after grade conditioning,"equipment, defect_count","coil -> equipment attribution, published","THE DIAGNOSTIC CASE. One row is canonical equipment attribution, not a data shortage. More rows would not fix it"
C11,BLUEPRINT CHART,P2,Surface defect position map,heatmap,NO,ADD WIDGET,Coil position defect density; transverse edge clustering,"position_m, width_position_mm, defect_code","coil -> defect, published",The position fields exist in the Parsytec source and are unbound
C12,BLUEPRINT CHART,P2,Chemistry conformance,conditional table,NO,EXTEND EMULATION,Chemistry conformance rate by grade,"grade_code, element_symbol, element_min, element_max, element_actual","heat -> grade specification, published","EXACT FIELD LIST NAMED. A grade specification source table does not exist. Limits must come from customer data, never a product literal"
C13,BLUEPRINT CHART,P3,Downtime by equipment,Pareto,NO,ADD WIDGET,Downtime concentrates on a clear loss leader,"equipment, stopped_minutes",none beyond canonical unit identity,No seeded widget touches downtime at all
C14,BLUEPRINT CHART,P3,Downtime by shift,stacked column,NO,ADD WIDGET,Downtime response time differs by shift,"shift, stopped_minutes",none beyond canonical unit identity,Depends on the same shift attribute as chart 2
C15,BLUEPRINT CHART,P3,Equipment stopped against production lost,paired column,NO,ADD WIDGET,R16 HSM cobble with buffer absorption,"equipment, stopped_minutes, production_impact_minutes",none beyond canonical unit identity,"THE MOST DISTINCTIVE CHART. Blocked on the two-quantity canonical contract, which is its own task"
C16,BLUEPRINT CHART,P3,Downtime reason Pareto,Pareto,NO,ADD WIDGET,Downtime reason mix differs by equipment; R15 breakout,"downtime_reason, stopped_minutes",none beyond canonical unit identity,The reason field exists in the downtime source and is unbound
C17,BLUEPRINT CHART,P3,Cycle time after maintenance,box plot,NO,EXTEND EMULATION,First heat after maintenance regimes; four recovery shapes,"maintenance_event_utc, heats_since_maintenance, power_on_min, cycle_time_min",none beyond heat identity,EXACT FIELD LIST NAMED. The post-repair recovery regime is not planted
C18,BLUEPRINT CHART,P3,Equipment performance by campaign age,line,NO,ADD WIDGET,R5 ROLL_MARK; ageing roll campaign; tundish age,"roll_campaign_age, defect_rate","coil -> defect, published",Campaign age exists in the HSM source and is unbound
C19,BLUEPRINT CHART,P4,Parameter trend,line,YES as PA_TREND,KEEP,Mid-month practice change; sequence-start transient,"parameter_code, observation_utc, value",none beyond canonical unit identity,Already correct. The regimes must exist in the data
C20,BLUEPRINT CHART,P4,Parameter distribution,histogram,NO,ADD WIDGET,Charge mix affects tap temperature spread,"parameter_code, value",none beyond canonical unit identity,No histogram exists among the 29. The chart type is in the registry
C21,BLUEPRINT CHART,P4,Parameter by grade,box plot,NO,ADD WIDGET,R17b QA by grade family; alloy addition accuracy,"grade, parameter_code, value","heat -> slab -> coil, published","Grade sits on the heat, the observation on the coil"
C22,BLUEPRINT CHART,P4,Parameter by shift,box plot,NO,EXTEND EMULATION,"Day conservative, night wider variance; residual variance survives conditioning","shift, parameter_code, value",none beyond canonical unit identity,EXACT FIELD LIST NAMED. Means must OVERLAP and variance must differ - three separated means would read as fabricated
C23,BLUEPRINT CHART,P4,Parameter against outcome,scatter,NO,ADD WIDGET,R6 EDGE_CRACK; R11a GAUGE_DEV; R17a PKL line speed,"parameter_code, value, defect_rate","coil -> defect, published",No scatter exists among the 29
C24,BLUEPRINT CHART,P4,Outlier detail,conditional table,PARTIAL as PA_TABLE,ENHANCE,A slab with an anomalous weight; a heat far outside its grade band,"material_unit_code, parameter_code, value, band_min, band_max",none beyond canonical unit identity,PA_TABLE lists parameters. Add the band and the conditional format and it becomes the outlier view
C25,BLUEPRINT CHART,P5,Correlation matrix,heatmap,NO,ADD WIDGET,"R1 to R17 as a set, with the controls visible as cold cells","parameter_code, outcome_code, effect_size, q_value","heat -> slab -> coil -> defect, published",CORRELATION_FINDINGS_BOARD holds two widgets and NEITHER shows a correlation
C26,BLUEPRINT CHART,P5,Ranked contributors,bar,NO,ADD WIDGET,"R2 INCLUSION 4.5x as the lead; R3, R5","driver_name, effect_size, q_value","heat -> slab -> coil -> defect, published","Must rank by effect size, never by p-value"
C27,BLUEPRINT CHART,P5,Casting speed against defect,scatter,NO,ADD WIDGET,R1 CRACK_LONG; unconditioned casting speed association,"casting_speed_m_min, defect_rate","heat -> slab -> coil -> defect, published",Casting speed is unbound across all 29 widgets
C28,BLUEPRINT CHART,P5,Superheat by casting speed,heatmap,NO,ADD WIDGET,Superheat effect depends on casting speed; finishing temperature optimum by gauge,"superheat_c, casting_speed_m_min, defect_rate","heat -> slab -> coil -> defect, published","The interaction is the point - a hot corner, not a gradient"
