"Area","RelativePath","Exists","FileCount","LineCount","SizeKB","Owner","Expected","Purpose","FinalRule"
"Caddy deploy","deploy\caddy","True","2","14","0.39","Deployment","REQUIRED","Reverse-proxy configuration.","Canonical Caddyfile belongs here."
"Canonical deploy root","deploy","True","37","1368","52.56","Deployment","REQUIRED","Single owner for deployment assets.","Keep all deployment assets under deploy/."
"CI deploy","deploy\ci","True","2","280","10.91","CI/CD","OPTIONAL","CI/CD assets.","CI helpers may live here."
"Demo sources deploy","deploy\demo-sources","True","2","158","4.84","Deployment","REQUIRED","Demo source-system compose files.","Demo source containers belong here."
"Legacy deployment root","deployment","False","0","0","0","None","SHOULD_NOT_EXIST","Legacy duplicate deployment folder.","Must remain removed."
"Legacy infrastructure deploy","Infrastructure\deploy","False","0","0","0","None","SHOULD_NOT_EXIST","Legacy duplicate deployment folder.","Must remain removed."
"Local deploy","deploy\local","True","2","31","1.01","Deployment","REQUIRED","Local topology helpers and local DB compose.","Local-only runtime helpers belong here."
"Root demo compose duplicate","docker-compose.demo-sources.yml","False","0","0","0","None","SHOULD_NOT_EXIST","Old root-level demo compose file.","Must remain under deploy/demo-sources."
"Server deploy","deploy\server","True","6","177","12.37","Deployment","REQUIRED","Server deployment scripts and server profile execution.","Server deployment files belong here."
"Storybook generated output","Frontend\PlantProcess.Web\storybook-static","False","0","0","0","None","SHOULD_NOT_EXIST","Generated frontend artifact.","Must not be committed."
