"Gate","Status","Evidence","Action"
"Demo source compose candidate exists","OK","deploy/demo-sources/docker-compose.demo-sources.yml exists.","No action."
"Docker command resolvable for server commands","OK","C:\Program Files\Docker\Docker\resources\bin\docker.exe","No action."
"Pack 3C prerequisite","OK","Latest Pack3C gate is green.","No action."
"Server app compose candidate exists","OK","deploy/server/docker-compose.server.yml exists after Pack3E.","No action."
"Server command script exists","OK","scripts\deploy\server-command-common.ps1","No action."
"Server command script exists","OK","scripts\deploy\server-down.ps1","No action."
"Server command script exists","OK","scripts\deploy\server-dry-run.ps1","No action."
"Server command script exists","OK","scripts\deploy\server-status.ps1","No action."
"Server command script exists","OK","scripts\deploy\server-up.ps1","No action."
"Server command script parses","OK","scripts\deploy\server-command-common.ps1","No action."
"Server command script parses","OK","scripts\deploy\server-down.ps1","No action."
"Server command script parses","OK","scripts\deploy\server-dry-run.ps1","No action."
"Server command script parses","OK","scripts\deploy\server-status.ps1","No action."
"Server command script parses","OK","scripts\deploy\server-up.ps1","No action."
"Server command scripts contain no real secrets","OK","No unsafe secret-like patterns found.","No action."
"Server dry-run command executes for demo compose","OK","Dry-run succeeded. Output: C:\Workspace\PlantProcess-IQ\Documentation\deployment\Pack3D_ServerDryRunOutput_20260604_134254.txt","No action."
