"Path","Risk","Pattern","Action"
"Backend\.env.example","HIGH","connection-string-password","Tracked config still contains a connection string with Password=."
"env\profiles\customer-template.env.example","HIGH","connection-string-password","Tracked config still contains a connection string with Password=."
"env\profiles\customer-template.env.example","HIGH","env-connection-string-password","Tracked env example still contains connection string password."
"env\profiles\local.env.example","HIGH","connection-string-password","Tracked config still contains a connection string with Password=."
"env\profiles\local.env.example","HIGH","env-connection-string-password","Tracked env example still contains connection string password."
"env\profiles\server.env.example","HIGH","connection-string-password","Tracked config still contains a connection string with Password=."
"env\profiles\server.env.example","HIGH","env-connection-string-password","Tracked env example still contains connection string password."
"env\profiles\server-docker.env.example","HIGH","connection-string-password","Tracked config still contains a connection string with Password=."
"env\profiles\server-docker.env.example","HIGH","env-connection-string-password","Tracked env example still contains connection string password."
"env\profiles\test.env.example","HIGH","connection-string-password","Tracked config still contains a connection string with Password=."
"env\profiles\test.env.example","HIGH","env-connection-string-password","Tracked env example still contains connection string password."
"Backend\.env.example","LOW","local-url-or-host","Local URL/host remains. Acceptable only in local/example files."
"Backend\PlantProcess.Api\appsettings.Development.json","LOW","local-url-or-host","Local URL/host remains. Acceptable only in local/example files."
"Backend\PlantProcess.Api\Properties\launchSettings.json","LOW","local-url-or-host","Local URL/host remains. Acceptable only in local/example files."
"env\profiles\local.env.example","LOW","local-url-or-host","Local URL/host remains. Acceptable only in local/example files."
"env\profiles\test.env.example","LOW","local-url-or-host","Local URL/host remains. Acceptable only in local/example files."
"Backend\.env.example","OK_PLACEHOLDER","password-placeholder","Password key remains only as ignored-env placeholder."
"env\profiles\customer-template.env.example","OK_PLACEHOLDER","password-placeholder","Password key remains only as ignored-env placeholder."
"env\profiles\local.env.example","OK_PLACEHOLDER","password-placeholder","Password key remains only as ignored-env placeholder."
"env\profiles\server.env.example","OK_PLACEHOLDER","password-placeholder","Password key remains only as ignored-env placeholder."
"env\profiles\server-docker.env.example","OK_PLACEHOLDER","password-placeholder","Password key remains only as ignored-env placeholder."
"env\profiles\test.env.example","OK_PLACEHOLDER","password-placeholder","Password key remains only as ignored-env placeholder."
