"Gate","Status","Evidence","Action"
"Canonical server compose config validates","OK","docker compose config succeeded. Output: C:\Workspace\PlantProcess-IQ\Documentation\deployment\Pack3F_ServerComposeConfig_20260604_134937.txt","No action."
"Deployment files contain no unsafe secret patterns","OK","No unsafe deployment secret patterns found. Password-like env keys are allowed when values are safe placeholders.","No action."
"Deployment pack is green","OK","Pack 3A - Deployment Baseline: Pack3A_DeploymentGate_20260604_132828.csv","No action."
"Deployment pack is green","OK","Pack 3B - Server Deployment Manifest: Pack3B_ServerDeploymentGate_20260604_133404.csv","No action."
"Deployment pack is green","OK","Pack 3C - Deployment Dry-Run: Pack3C_DeploymentDryRunGate_20260604_133920.csv","No action."
"Deployment pack is green","OK","Pack 3D - Server Commands: Pack3D_ServerCommandGate_20260604_134633.csv","No action."
"Deployment pack is green","OK","Pack 3E - Server App Compose: Pack3E_ServerAppComposeGate_20260604_134633.csv","No action."
"Docker command available","OK","C:\Program Files\Docker\Docker\resources\bin\docker.exe","No action."
"Required deployment asset exists","OK","deploy\caddy\Caddyfile","No action."
"Required deployment asset exists","OK","deploy\demo-sources\docker-compose.demo-sources.yml","No action."
"Required deployment asset exists","OK","deploy\README.md","No action."
"Required deployment asset exists","OK","deploy\server\.env.example","No action."
"Required deployment asset exists","OK","deploy\server\docker-compose.server.yml","No action."
"Required deployment asset exists","OK","deploy\server\README.md","No action."
"Required deployment asset exists","OK","deploy\server\SERVER_DEPLOYMENT_CHECKLIST.md","No action."
"Required deployment asset exists","OK","deploy\server\SERVER_DRY_RUN.md","No action."
"Required deployment asset exists","OK","deploy\server\SERVER_RUNBOOK.md","No action."
"Required deployment asset exists","OK","scripts\deploy\server-command-common.ps1","No action."
"Required deployment asset exists","OK","scripts\deploy\server-down.ps1","No action."
"Required deployment asset exists","OK","scripts\deploy\server-dry-run.ps1","No action."
"Required deployment asset exists","OK","scripts\deploy\server-status.ps1","No action."
"Required deployment asset exists","OK","scripts\deploy\server-up.ps1","No action."
"Runtime env files are untracked","OK","No runtime env files are tracked.","No action."
"Server env example is tracked template","OK","deploy/server/.env.example is tracked as safe template.","No action."
