"Gate","Status","Evidence","Action"
"Canonical server compose dry-run config","OK","docker compose config succeeded. Output: C:\Workspace\PlantProcess-IQ\Documentation\deployment\Pack3E_ServerComposeConfig_20260604_134633.txt","No action."
"Canonical server compose service contract","OK","All expected server services are present.","No action."
"Docker command available for compose validation","OK","C:\Program Files\Docker\Docker\resources\bin\docker.exe","No action."
"Required compose path exists","OK","Backend\PlantProcess.Api\Dockerfile","No action."
"Required compose path exists","OK","Backend\PlantProcess.Workers\Dockerfile","No action."
"Required compose path exists","OK","deploy\caddy\Caddyfile","No action."
"Required compose path exists","OK","deploy\server\.env.example","No action."
"Required compose path exists","OK","deploy\server\docker-compose.server.yml","No action."
"Required compose path exists","OK","Frontend\PlantProcess.Web\Dockerfile","No action."
"Required compose path exists","OK","Website\PlantProcess.Website\Dockerfile","No action."
"Server compose contains no real secrets","OK","No unsafe secret-like patterns detected.","No action."
"Server compose env contract","OK","All required server compose env keys exist in .env.example.","No action."
